line,start,end,money saved,best_path
1,TAURO,AEROPUERTO DE GRAN CANARIA ,0.2,TAURO -> CRUCE SARDINA -> AEROPUERTO DE GRAN CANARIA 
1,TAURO,CRUCE ARINAGA,0.15,TAURO -> SAN FERNANDO - MASPALOMAS -> CRUCE ARINAGA
1,TAURO,CRUCE DE GANDO,0.2,TAURO -> CRUCE SARDINA -> CRUCE DE GANDO
1,TAURO,CRUCE DE MELENARA,0.15,TAURO -> CRUCE SARDINA -> CRUCE DE MELENARA
1,TAURO,LA PARDILLA,0.3,TAURO -> CRUCE SARDINA -> LA PARDILLA
1,TAURO,PLAYA DEL INGLÉS - MASPALOMAS,0.3,TAURO -> CRUCE DEL PAJAR -> PLAYA DEL INGLÉS - MASPALOMAS
4,CRUCE TABLERO,CRUCE DE GANDO,0.05,CRUCE TABLERO -> CRUCE SARDINA -> CRUCE DE GANDO
4,CRUCE TABLERO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.1,CRUCE TABLERO -> LA PARDILLA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
4,TABLERO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.05,TABLERO -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
5,AEROPUERTO DE GRAN CANARIA ,CRUCE TABLERO,0.05,AEROPUERTO DE GRAN CANARIA  -> CRUCE SARDINA -> CRUCE TABLERO
5,CRUCE DE GANDO,CRUCE TABLERO,0.05,CRUCE DE GANDO -> CRUCE SARDINA -> CRUCE TABLERO
5,CRUCE FARO ,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.2,CRUCE FARO  -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
5,CRUCE TABLERO,AEROPUERTO DE GRAN CANARIA ,0.05,CRUCE TABLERO -> CRUCE SARDINA -> AEROPUERTO DE GRAN CANARIA 
5,CRUCE TABLERO,CRUCE DE GANDO,0.05,CRUCE TABLERO -> CRUCE SARDINA -> CRUCE DE GANDO
5,CRUCE TABLERO,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.1,CRUCE TABLERO -> LA PARDILLA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
5,FARO - ESTACIÓN MASPALOMAS,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),0.2,FARO - ESTACIÓN MASPALOMAS -> CRUCE DE MELENARA -> SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA)
5,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),CRUCE FARO ,0.2,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> CRUCE FARO 
5,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),CRUCE TABLERO,0.1,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> LA PARDILLA -> CRUCE TABLERO
5,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA),FARO - ESTACIÓN MASPALOMAS,0.2,SAN TELMO - ESTACIÓN LAS PALMAS DE GRAN CANARIA (LPA) -> CRUCE DE MELENARA -> FARO - ESTACIÓN MASPALOMAS
9,CRUCE ARINAGA,TAURO,0.15,CRUCE ARINAGA -> SAN FERNANDO - MASPALOMAS -> TAURO
9,TAURO,CRUCE ARINAGA,0.15,TAURO -> SAN FERNANDO - MASPALOMAS -> CRUCE ARINAGA
18,ARTEARA,LAS MORADAS,0.05,ARTEARA -> CRUZ GRANDE -> LAS MORADAS
18,AYACATA,FARO - ESTACIÓN MASPALOMAS,0.2,AYACATA -> ARTEARA -> FARO - ESTACIÓN MASPALOMAS
18,AYACATA,SAN FERNANDO - MASPALOMAS,0.1,AYACATA -> ARTEARA -> SAN FERNANDO - MASPALOMAS
18,CRUZ GRANDE,FARO - ESTACIÓN MASPALOMAS,0.15,CRUZ GRANDE -> ARTEARA -> FARO - ESTACIÓN MASPALOMAS
18,CRUZ GRANDE,SAN FERNANDO - MASPALOMAS,0.05,CRUZ GRANDE -> ARTEARA -> SAN FERNANDO - MASPALOMAS
18,FARO - ESTACIÓN MASPALOMAS,AYACATA,0.2,FARO - ESTACIÓN MASPALOMAS -> ARTEARA -> AYACATA
18,FARO - ESTACIÓN MASPALOMAS,CRUZ GRANDE,0.15,FARO - ESTACIÓN MASPALOMAS -> ARTEARA -> CRUZ GRANDE
18,FARO - ESTACIÓN MASPALOMAS,LAS MORADAS,0.15,FARO - ESTACIÓN MASPALOMAS -> ARTEARA -> CRUZ GRANDE -> LAS MORADAS
18,FARO - ESTACIÓN MASPALOMAS,TEJEDA,0.2,FARO - ESTACIÓN MASPALOMAS -> ARTEARA -> AYACATA -> TEJEDA
18,FATAGA,TEJEDA,0.05,FATAGA -> AYACATA -> TEJEDA
18,LAS MORADAS,ARTEARA,0.05,LAS MORADAS -> CRUZ GRANDE -> ARTEARA
18,LAS MORADAS,FARO - ESTACIÓN MASPALOMAS,0.15,LAS MORADAS -> CRUZ GRANDE -> ARTEARA -> FARO - ESTACIÓN MASPALOMAS
18,MUNDO ABORIGEN,TEJEDA,0.1,MUNDO ABORIGEN -> AYACATA -> TEJEDA
18,SAN FERNANDO - MASPALOMAS,AYACATA,0.1,SAN FERNANDO - MASPALOMAS -> ARTEARA -> AYACATA
18,SAN FERNANDO - MASPALOMAS,CRUZ GRANDE,0.05,SAN FERNANDO - MASPALOMAS -> ARTEARA -> CRUZ GRANDE
18,SAN FERNANDO - MASPALOMAS,TEJEDA,0.05,SAN FERNANDO - MASPALOMAS -> ARTEARA -> TEJEDA
